parkid,rectypeid,amenityid,created_us,created_da,last_edite,last_edi_1,amentype,courtsurf,courtsize,courtlight,courtfence,fieldsurf,fldplayage,fieldlight,fieldfence,football,cricket,lacrosse,soccer,fhockey,softball,baseball,sheltype,shelsurf,shellight,shelelec,shelwater,shelrstrm,shelgrill,shelcap,playsurf,playada,playage,recrmrent,recgym,recfitctr,recpool,reclockrm,recomplab,recindoor,reservable,managedby,tball,amenstatus
LATN,PARKSP,07,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Closed
LATN,INTERP,02,,,PARKEDITOR,1/3/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Closed
LATT,INTERP,01,,,PARKEDITOR,1/3/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Closed
KING,GRNSPC,01,PARKEDITOR,1/19/2022,PARKEDITOR,1/19/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
KING,PLYGRD,01,PARKEDITOR,1/19/2022,PARKEDITOR,1/19/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,Synthetic,,,,,,,,,,,Mecklenburg,,Open
PILP,GRNSPC,02,PARKEDITOR,1/20/2022,PARKEDITOR,1/20/2022,OTHER,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Pineville,,Open
KING,PICNIC,01,PARKEDITOR,1/19/2022,PARKEDITOR,1/19/2022,PICNIC,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
PILP,SWINGS,02,PARKEDITOR,1/20/2022,PARKEDITOR,1/20/2022,PLAYGROUND,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Pineville,,Open
FREE,PARKSP,05,,,PARKEDITOR,1/3/2022,PARKING,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,Mecklenburg,,Open
AMSG,BALLFD,02,PARKEDITOR,1/21/2022,PARKEDITOR,1/21/2022,FIELD,,,,,Grass,,,,,,,,,,Yes,,,,,,,,0,,,,,,,,,,,,Huntersville,,Open
