PARK_ID,Park_name,parkurl,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuser,playswings,parking,AmenitiesCount,picture,PARK_TYPE,Acres,Area,Length
CMCP,Campbell Creek Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,Picnic,Playground,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,6,,COMMUNITY PARK,20.71639639,902402.5667,4365.287342
PENN,Charles and Ida Graham Park,https://www.huntersville.org/162/Parks-Recreation,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,COMMUNITY PARK,45.46617483,1980498.229,7621.384535
FIVE,Five Points Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,Picnic,Playground,Basketball,Tennis,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,9,,NEIGHBORHOOD PARK,9.25718272,403241.0234,3542.860223
ARGC,Arbor Glen Outreach Center,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Restroom,ADA Compliance,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,Yes,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/12/attachments/3237?token=,,,,
ABBT,Abbott Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,,,,Playground,Basketball,Tennis,,,,,,,,,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,7,,NEIGHBORHOOD PARK,7.25774985,316146.6815,4751.343101
CLKD,Eastfield Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,REGIONAL PARK,114.7717811,4999439.083,10107.94551
CMGP,Camp Greene Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,Playground,Basketball,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,6,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/34/attachments/3228?token=,COMMUNITY PARK,27.4524676,1195824.877,6033.883706
LHTP,Lincoln Heights Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,Picnic,Playground,Basketball,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,10,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/101/attachments/2052?token=,NEIGHBORHOOD PARK,9.19505471,400534.9465,5817.776182
EBMP,EB Moore Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Restroom,,,,Playground,,Tennis,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,7,,NEIGHBORHOOD PARK,4.01700966,174980.2498,1767.416183
SOLO,Solomans Park,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,,ADA Compliance,,Picnic,Playground,Basketball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,5,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/164/attachments/2055?token=,NEIGHBORHOOD PARK,0.65207785,28404.38316,841.0334864
