PARK_ID,parkname,address,streetno,streetdir,streetnm,streettype,streetsuff,city,state,zip,prktype,prkstatus,park district,prkphone,citycounci,bocc,prkdate,x,y,leasedid,parkurl,numparking,operdays,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuserm,playswings,parking,resvation,reservfac,picture
CMCP,Campbell Creek Park,"6601 BARCLIFF DR, CHARLOTTE, NC 28212",6601,,BARCLIFFE,DR,,CHARLOTTE,NC,28212,Community,Developed,South,9803141003,District 5,District 4,7/28/1998,-80.7351434,35.2155775,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,
PENN,Charles and Ida Graham Park,"8101 OLIVER HAGER RD, HUNTERSVILLE, NC 28078",0,,,,NO,HUNTERSVILLE,NC,28078,Town Park,Undeveloped,North,7047662220,,District 1,4/21/2008,-80.901609,35.427915,Huntersville,https://www.huntersville.org/162/Parks-Recreation,0,Non-Operational,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://www.huntersville.org/1196/Check-Facility-Availability-and-Reservat,No,
FIVE,Five Points Park,"200 FRENCH ST, CHARLOTTE, NC 28216",200,,FRENCH,ST,NO,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,9803141002,District 2,District 2,7/28/1998,-80.859839,35.2483572,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,5,Sun-Sat,Daylight,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
ARGC,Arbor Glen Outreach Center,"1520 CLANTON RD, CHARLOTTE, NC 28217",1520,,CLANTON,RD,,CHARLOTTE,NC,28217,Recreation Center,Developed,Central,9803141110,District 3,District 2,4/3/2002,-80.8931507,35.2077241,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,153,Sun-Sat,Varies,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/12/attachments/3237?token=
ABBT,Abbott Park,"1300 SPRUCE ST, CHARLOTTE, NC 28203",1300,,SPRUCE,ST,,CHARLOTTE,NC,28203,Neighborhood,Developed,Central,9803141002,District 3,District 2,9/13/2007,-80.8709127,35.2150855,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
CLKD,Eastfield Park,"13729 EASTFIELD RD, HUNTERSVILLE, NC 28078",0,,NO ADDRESS,,,HUNTERSVILLE,NC,28078,Regional,Undeveloped,North,9803141001,,District 1,10/9/1998,-80.7765131,35.3918623,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Non-Operational,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,
CMGP,Camp Greene Park,"1221 ALLEGHANY ST, CHARLOTTE, NC 28208",1221,,ALLEGHANY,ST,,CHARLOTTE,NC,28208,Community,Developed,Central,9803141002,District 2,District 2,7/28/1998,-80.8905099,35.2373696,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,200,Sun-Sat,Daylight,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/34/attachments/3228?token=
LHTP,Lincoln Heights Park,"1819 CATHERINE SIMMONS AV, CHARLOTTE, NC 28216",0,,NO ADDRESS,,,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,9803141002,District 2,District 3,10/12/1998,-80.8493734,35.263262,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,7,Sun-Sat,Daylight,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/101/attachments/2052?token=
EBMP,EB Moore Park,"901 MARSH RD, CHARLOTTE, NC 28209",901,,MARSH,RD,NO,CHARLOTTE,NC,28209,Neighborhood,Developed,Central,9803141002,District 1,District 4,7/28/1998,-80.8585006,35.1877331,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,41,Sun-Sat,Daylight,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://apm.activecommunities.com/mecklenburgparks/Home,Yes,
SOLO,Solomans Park,"3299 VENICE ST, CHARLOTTE, NC 28216",3299,,VENICE,ST,,CHARLOTTE,NC,28216,Neighborhood,Developed,Central,9803141002,District 2,District 2,7/28/1998,-80.8706629,35.2608913,Mecklenburg,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,0,Sun-Sat,Daylight,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://apm.activecommunities.com/mecklenburgparks/Home,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/164/attachments/2055?token=
