OBJECTID,PARK_TYPE,STATUS,PARK_ID,PROPERTY,SUM_ACRES,ShapeSTArea,ShapeSTLength
1,ADMINISTRATION,DEVELOPED,ADMN,ADMINISTRATIVE OFFICE BLDG,11.78733455,513454.072021484,4779.71561716692
2,AQUATIC CENTER,DEVELOPED,AQUA,MECKLENBURG COUNTY AQUATIC CENTER,4.11144471,179093.69575957,1808.86829774536
3,AQUATIC CENTER,DEVELOPED,WOOD,DOUBLE OAKS FAMILY AQUATIC CENTER,2.4871354,108339.13390293,1399.69015845887
4,COMMUNITY PARK,DEVELOPED,ABRP,ALBEMARLE ROAD PARK,21.13117673,920470.468030469,6577.65588365785
5,COMMUNITY PARK,DEVELOPED,AMJP,AMAY JAMES PARK,41.57665354,1811071.7935377,6087.27834897899
6,COMMUNITY PARK,DEVELOPED,BLTN,BALLANTYNE PARK,90.11006012,3925179.23471172,17575.3251681944
7,COMMUNITY PARK,DEVELOPED,BLYT,BLYTHE LANDING PARK,23.74402327,1034285.67798125,7736.07885823977
8,COMMUNITY PARK,UNDEVELOPED,LKCP,LAKEVIEW PARK,50.32129647,2191987.3546457,9171.69949322258
9,COMMUNITY PARK,DEVELOPED,BRWD,BRIARWOOD PARK,33.28345924,1449821.80542539,6014.9066709324
10,COMMUNITY PARK,DEVELOPED,CANP,RICHARD BARRY MEMORIAL PARK,41.87470919,1824054.7196125,6858.81990749356
11,COMMUNITY PARK,DEVELOPED,CLAN,CLANTON PARK,72.26306621,3147766.47289883,12287.6567120618
12,COMMUNITY PARK,DEVELOPED,CLWD,SHUFFLETOWN PARK,54.20351753,2361095.8266123,6309.14523681123
13,COMMUNITY PARK,DEVELOPED,CMCP,CAMPBELL CREEK PARK,20.71639639,902402.566709766,4365.28734216761
14,COMMUNITY PARK,DEVELOPED,CMGP,CAMP GREENE PARK,27.4524676,1195824.87716895,6033.88370616198
15,GREENWAY,GREENWAY,CMGC,CAMP GREENE CONNECTOR,3.60059972,156841.440330273,3293.19212884626
16,COMMUNITY PARK,DEVELOPED,CORP,CORDELIA PARK,20.89170481,910039.296081836,4990.86528661585
17,COMMUNITY PARK,DEVELOPED,COUL,COULWOOD PARK,24.57177361,1070342.15765059,5782.69519547836
18,COMMUNITY PARK,DEVELOPED,DAVP,CLARKS CREEK PARK,35.12391895,1529991.97890059,6325.43145993223
19,COMMUNITY PARK,DEVELOPED,DBWP,DAVID B. WAYMER PARK,18.86576374,821789.114284766,6742.06614203703
20,COMMUNITY PARK,DEVELOPED,DRTA,DERITA PARK,23.53365666,1025121.76062246,6011.25737094079
21,COMMUNITY PARK,DEVELOPED,EASP,EASTWAY PARK,90.43868874,3939493.92204434,11492.7230075854
22,COMMUNITY PARK,DEVELOPED,FBDP,FLAT BRANCH PARK,54.22691218,2362114.58634551,6954.6028524978
23,COMMUNITY PARK,DEVELOPED,FSPK,FIRESTONE PARK,54.61261865,2378916.15925645,9035.23472371234
24,COMMUNITY PARK,DEVELOPED,HAPK,HUNTERSVILLE ATHLETIC PARK,37.20501456,1620644.20686855,5412.04793813168
25,COMMUNITY PARK,DEVELOPED,HUNT,HUNTINGTOWNE FARMS PARK,22.80825043,993523.636239648,8056.2475958055
26,COMMUNITY PARK,DEVELOPED,JBCP,JAMES BOYCE PARK,72.96512531,3178347.8368041,8332.44142211959
