OBJECTID,PRKID,PRKNAME,PRKADDR,STREETNO,STREETDIR,STREETNM,STREETTYPE,STREETSUFF,CITY,STATE,ZIP,PRKTYPE,PRKSTATUS,PRKDIST,PRKSIZE,PRKXCOORD,PRKYCOORD,PRKPHONE,PRKAGE,PRKADAACC,CITYCOUNCI,BOCC,PRKDATE,USERID,UPSIZE_TS,X,Y,LEASEDID
1,YORK,Yorkmont Park,6417 VICKERS RD,6417, ,VICKERS,RD, ,CHARLOTTE,NC,28217,Neighborhood,Developed,South,,,,9803141003,,,District 3,District 2,1998/07/28 00:00:00+00,,,1431594.51492967,520191.63716336,Mecklenburg
2,PKRD,Park Road Park,6220 PARK RD,6220, ,PARK,RD, ,CHARLOTTE,NC,28210,Community,Developed,South,,,,9803141003,,,District 6,District 5,1999/05/07 00:00:00+00,,,1447014.84498847,513334.37375139,Mecklenburg
3,SEDF,Sedgefield Park,600 ELMHURST RD,600, ,ELMHURST,RD, ,CHARLOTTE,NC,28209,Neighborhood,Developed,Central,,,,9803141002,,,District 1,District 4,1998/07/28 00:00:00+00,,,1444953.40430087,532281.44604902,Mecklenburg
4,KING,Wilmore Centennial Park at Southend,1711 S TRYON ST,1711,S,TRYON,ST, ,CHARLOTTE,NC,28203,Neighborhood,Developed,Central,,,,9803141002,,,District 3,District 2,2012/05/17 00:00:00+00,,,1444332.62585601,538160.81585605,Mecklenburg
5,ABRP,Albemarle Road Park,9120 E W T HARRIS BV,9120,E,W T HARRIS,BV,NO,CHARLOTTE,NC,28227,Community,Developed,South,,,,9803141003,,,District 5,District 4,2002/03/18 00:00:00+00,,,1484195.61806604,530843.21767961,Mecklenburg
6,PENN,Charles and Ida Graham Park,8101 OLIVER HAGER RD,0, , , ,NO,HUNTERSVILLE,NC,28078,Town Park,Undeveloped,North,,,,7047662220,,,,District 1,2008/04/21 00:00:00+00,,,1433550.73054622,616092.10167685,Huntersville
7,DRTA,Derita Park,3509 FREW RD,3509, ,FREW,RD, ,CHARLOTTE,NC,28206,Community,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1460946.33117642,554062.2899138,Mecklenburg
8,NEVN,Nevin Park,6100 STATESVILLE RD,6100, ,STATESVILLE,RD, ,CHARLOTTE,NC,28269,Regional,Developed,North,,,,9803141001,,,District 2,District 3,2000/12/11 00:00:00+00,,,1451160.86573388,569885.11615397,Mecklenburg
9,BRNH,Rocky River Bluff Nature Preserve,20532 SHEARER RD,0, ,NO ADDRESS, , ,DAVIDSON,NC,28036,Nature Preserve,Developed,North,,,,9803141001,,,,District 1,2003/07/11 00:00:00+00,,,1467044.12585603,637081.37585603,Mecklenburg
10,KPPK,KP Park,320 E MATTHEWS ST,320,E,MATTHEWS,ST,,MATTHEWS,NC,28105,Town Park,Developed,South,,,,7043217275,,,,District 6,,,,1486277.07906,501986.15411836,Matthews
11,LATN,Latta Nature Preserve,5226 SAMPLE RD,5226, ,SAMPLE,RD, ,HUNTERSVILLE,NC,28216,Nature Preserve,Developed,North,,,,9803141129,,,,District 1,1998/07/28 00:00:00+00,,,1432158.24810465,591131.96731652,Mecklenburg
12,OLDP,Olde Providence Park,3800 REA RD,3800, ,REA,RD, ,CHARLOTTE,NC,28226,Community,Developed,South,,,,9803141003,,,District 7,District 5,1998/07/28 00:00:00+00,,,1462464.34268114,499870.05936098,Mecklenburg
13,SUGC,Sugaw Creek Recreation Center,943 W SUGAR CREEK RD,943,W,SUGAR CREEK,RD, ,CHARLOTTE,NC,28213,Recreation Center,Developed,North,,,,9803141001,,,District 1,District 3,1998/07/28 00:00:00+00,,,1463875.50833802,558915.30954829,Mecklenburg
14,COOK,Cook Park,15010 ERVIN COOK RD,0, , , ,NO,HUNTERSVILLE,NC,28078,Town Park,Undeveloped,North,,,,7047662220,,,,District 1,2005/12/08 00:00:00+00,,,1435257.20823318,613461.87054826,Huntersville
15,RIBW,Ribbonwalk Nature Preserve,5017 HOYT HINSON RD,5017, ,HOYT HINSON,RD, ,CHARLOTTE,NC,28269,Nature Preserve,Developed,North,,,,9803141000,,,District 2,District 3,2005/07/11 00:00:00+00,,,1457448.57479759,566045.98464716,Mecklenburg
16,WMJP,West Mecklenburg Park,2765 WESTERWOOD VILLAGE DR.,0, , , ,NO,CHARLOTTE,NC,28214,Neighborhood,Undeveloped,North,,,,9803141001,,,District 3,District 2,2008/07/28 00:00:00+00,,,1416395.27172606,551607.9466518,Mecklenburg
17,TUCP,Tuckaseegee Park,4820 TUCKASEEGEE RD,4820, ,TUCKASEEGEE,RD, ,CHARLOTTE,NC,28208,Neighborhood,Developed,North,,,,9803141001,,,District 2,District 2,1998/07/28 00:00:00+00,,,1430415.4719132,550805.54210021,Mecklenburg
18,BCKP,Back Creek Park,3343 BACK CREEK CHURCH RD,0, ,NO ADDRESS, , ,CHARLOTTE,NC,28213,Regional,Undeveloped,North,,,,9803141001,,,District 4,District 3,2002/03/18 00:00:00+00,,,1492047.59592807,564895.08657813,Mecklenburg
19,INPP,Independence Pointe Park,9902 INDEPENDENCE POINTE PY,0, , , ,NO,MATTHEWS,NC,28105,Town Park,Undeveloped,South,,,,7043217275,,,,District 6,2003/07/11 00:00:00+00,,,1487684.4920242,507491.60133268,Matthews
20,FORP,Forest Point Park,7721 FOREST POINT BV,7721,,FOREST POINT,BV,,CHARLOTTE,NC,28217,Neighborhood Park,Undeveloped,South,,,,9803141003,,,District 3,District 2,,,,1430689.34534025,510515.81436808,Mecklenburg
21,LDNP,Lake Davidson Nature Preserve,750 JETTON ST,750,,JETTON,ST,,DAVIDSON,NC,28036,Nature Preserve,Developed,North,,,,7048923349,,,,District 1,,,,1446084.90983638,643443.41345002,Davidson
