to Latitude,to Longitude,Zone,Easting,Northing,Zone Northing Easting Interpreted
35.2155775,-80.7351434,3200,1481781.309,537915.1491,3200 537915.1491UsFtN 1481781.309UsFtE
35.427915,-80.901609,3200,1433550.731,616092.1017,3200 616092.1017UsFtN 1433550.731UsFtE
35.2483572,-80.859839,3200,1444767.37,550517.4028,3200 550517.4028UsFtN 1444767.37UsFtE
35.2077241,-80.8931507,3200,1434541.767,535919.8546,3200 535919.8546UsFtN 1434541.767UsFtE
35.2150855,-80.8709127,3200,1441233.649,538472.5893,3200 538472.5893UsFtN 1441233.649UsFtE
35.3918623,-80.7765131,3200,1470575.237,602282.2271,3200 602282.2271UsFtN 1470575.237UsFtE
35.2373696,-80.8905099,3200,1435535.911,546692.186,3200 546692.186UsFtN 1435535.911UsFtE
35.263262,-80.8493734,3200,1447992.449,555882.6367,3200 555882.6367UsFtN 1447992.449UsFtE
35.1877331,-80.8585006,3200,1444753.845,528449.9938,3200 528449.9938UsFtN 1444753.845UsFtE
35.2608913,-80.8706629,3200,1441622.376,555139.0659,3200 555139.0659UsFtN 1441622.376UsFtE
35.3050164,-80.8867006,3200,1437141.011,571286.0144,3200 571286.0144UsFtN 1437141.011UsFtE
35.4012983,-80.9375681,3200,1422651.546,606613.7284,3200 606613.7284UsFtN 1422651.546UsFtE
35.2684515,-80.8572079,3200,1445689.569,557814.6654,3200 557814.6654UsFtN 1445689.569UsFtE
35.2674977,-80.8568184,3200,1445799.331,557465.429,3200 557465.429UsFtN 1445799.331UsFtE
35.2262937,-80.846912,3200,1448476.753,542416.8192,3200 542416.8192UsFtN 1448476.753UsFtE
35.4207793,-80.895713,3200,1435257.208,613461.8705,3200 613461.8705UsFtN 1435257.208UsFtE
35.3206293,-80.7324239,3200,1483260.637,576128.4647,3200 576128.4647UsFtN 1483260.637UsFtE
35.278222,-80.7815766,3200,1468324.171,560956.3476,3200 560956.3476UsFtN 1468324.171UsFtE
35.1225824,-80.9023769,3200,1431192.579,504991.6223,3200 504991.6223UsFtN 1431192.579UsFtE
35.2124294,-80.8799054,3200,1438529.898,537556.8295,3200 537556.8295UsFtN 1438529.898UsFtE
35.2547925,-80.752649,3200,1476805.596,552276.8959,3200 552276.8959UsFtN 1476805.596UsFtE
35.452956,-80.7729722,3200,1472027.475,624495.3751,3200 624495.3751UsFtN 1472027.475UsFtE
35.2154205,-80.8764199,3200,1439591.377,538625.5314,3200 538625.5314UsFtN 1439591.377UsFtE
35.2489332,-80.8669445,3200,1442650.311,550766.8097,3200 550766.8097UsFtN 1442650.311UsFtE
35.1997337,-80.8130594,3200,1458408.111,532565.717,3200 532565.717UsFtN 1458408.111UsFtE
