PARK_ID,Park_name,Address,City,Zip Code,Park District,Phone,Longitude,Latitude,parkurl,operhours,restroom,adacomply,camping,picnic,playground,basketball,tennis,volleyball,spraygroun,mtbcycle,golf,boating,fishing,swimming,discgolf,shelter,walking,dogpark,ampitheate,motorboat,horseback,garden,historical,skatepark,interpreti,tabletenni,recgym,fitness,rvcamp,sailing,pickleball,multipurps,rcflyarea,flwrgarden,indorpavil,aquaticctr,ballfield,batingcage,bicycleltr,bmxtrack,bocciball,confcenter,concesstnd,firepit,funbrella,gagaball,gazebo,opngrnspac,highropes,horseshoe,environedu,dockpier,playsixty,rockclimb,seniorctr,shadearbor,shuflboard,trlrunning,grnwyacces,handball,arts,multiuser,playswings,parking,picture,PARK_TYPE,Acres,Area,Length
CMCP,Campbell Creek Park,"6601 BARCLIFF DR, CHARLOTTE, NC 28212",CHARLOTTE,28212,South,9803141003,-80.7351434,35.2155775,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,COMMUNITY PARK,20.71639639,902402.5667,4365.287342
PENN,Charles and Ida Graham Park,"8101 OLIVER HAGER RD, HUNTERSVILLE, NC 28078",HUNTERSVILLE,28078,North,7047662220,-80.901609,35.427915,https://www.huntersville.org/162/Parks-Recreation,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,COMMUNITY PARK,45.46617483,1980498.229,7621.384535
FIVE,Five Points Park,"200 FRENCH ST, CHARLOTTE, NC 28216",CHARLOTTE,28216,Central,9803141002,-80.859839,35.2483572,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,NEIGHBORHOOD PARK,9.25718272,403241.0234,3542.860223
ARGC,Arbor Glen Outreach Center,"1520 CLANTON RD, CHARLOTTE, NC 28217",CHARLOTTE,28217,Central,9803141110,-80.8931507,35.2077241,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Varies,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/12/attachments/3237?token=,,,,
ABBT,Abbott Park,"1300 SPRUCE ST, CHARLOTTE, NC 28203",CHARLOTTE,28203,Central,9803141002,-80.8709127,35.2150855,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,,NEIGHBORHOOD PARK,7.25774985,316146.6815,4751.343101
CLKD,Eastfield Park,"13729 EASTFIELD RD, HUNTERSVILLE, NC 28078",HUNTERSVILLE,28078,North,9803141001,-80.7765131,35.3918623,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Non-Operational,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,REGIONAL PARK,114.7717811,4999439.083,10107.94551
CMGP,Camp Greene Park,"1221 ALLEGHANY ST, CHARLOTTE, NC 28208",CHARLOTTE,28208,Central,9803141002,-80.8905099,35.2373696,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/34/attachments/3228?token=,COMMUNITY PARK,27.4524676,1195824.877,6033.883706
LHTP,Lincoln Heights Park,"1819 CATHERINE SIMMONS AV, CHARLOTTE, NC 28216",CHARLOTTE,28216,Central,9803141002,-80.8493734,35.263262,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/101/attachments/2052?token=,NEIGHBORHOOD PARK,9.19505471,400534.9465,5817.776182
EBMP,EB Moore Park,"901 MARSH RD, CHARLOTTE, NC 28209",CHARLOTTE,28209,Central,9803141002,-80.8585006,35.1877331,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,,NEIGHBORHOOD PARK,4.01700966,174980.2498,1767.416183
SOLO,Solomans Park,"3299 VENICE ST, CHARLOTTE, NC 28216",CHARLOTTE,28216,Central,9803141002,-80.8706629,35.2608913,https://www.mecknc.gov/parkandrec/pages/home.aspx?redirect=charmeck,Daylight,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,https://maps.mecklenburgcountync.gov/evaluate/rest/services/park/Parks/FeatureServer/0/164/attachments/2055?token=,NEIGHBORHOOD PARK,0.65207785,28404.38316,841.0334864
